med_id,generic_name,normalized_name,renal_audit_status,audit_priority,renal_rules_published,renal_rules_pending,renal_rules_automatic,renal_biblio_published,renal_biblio_verified,renal_clinical_class,existing_review_priority,phase6_status,disposition,next_action
MED-0006,ACECLOFENACO,ACECLOFENACO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0007,ACETATO DE CIPROTERONA,ACETATO DE CIPROTERONA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0008,ACETATO DE CLORMADINONA,ACETATO DE CLORMADINONA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0009,ACETATO DE INDACATEROL,ACETATO DE INDACATEROL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0010,ACETATO DE LISINA,ACETATO DE LISINA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0011,ACETATO DE MEDROXIPROGESTERONA,ACETATO DE MEDROXIPROGESTERONA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0012,ACETATO DE NOMEGESTROL,ACETATO DE NOMEGESTROL,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0013,ACETATO DE ULIPRISTAL,ACETATO DE ULIPRISTAL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0014,ACETAZOLAMIDA,ACETAZOLAMIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0015,ACETILCISTEINA,ACETILCISTEINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
