med_id,generic_name,priority,estado_inicial
MED-0619,CEFTRIAXONA,1,PENDING_REVIEW
MED-0620,CEFOTAXIMA,1,PENDING_REVIEW
MED-0621,CEFAZOLINA,1,PENDING_REVIEW
MED-0622,CEFEPIMA,1,PENDING_REVIEW
MED-0623,CEFTAZIDIMA,1,PENDING_REVIEW
MED-0624,GENTAMICINA,1,PENDING_REVIEW
MED-0625,AMIKACINA,1,PENDING_REVIEW
MED-0626,MEROPENEM,1,PENDING_REVIEW
MED-0627,ERTAPENEM,1,PENDING_REVIEW
MED-0628,IMIPENEM,1,PENDING_REVIEW
MED-0629,PIPERACILINA/TAZOBACTAM,1,PENDING_REVIEW
MED-0630,AMOXICILINA/ÁCIDO CLAVULÁNICO,1,PENDING_REVIEW
MED-0631,AZTREONAM,1,PENDING_REVIEW
MED-0632,PENICILINA G,1,PENDING_REVIEW
MED-0633,SALBUTAMOL,1,PENDING_REVIEW
MED-0634,EPINEFRINA,1,PENDING_REVIEW
MED-0635,ATROPINA,1,PENDING_REVIEW
MED-0636,ADENOSINA,1,PENDING_REVIEW
MED-0637,NOREPINEFRINA,1,PENDING_REVIEW
MED-0638,DOPAMINA,1,PENDING_REVIEW
MED-0639,DOBUTAMINA,1,PENDING_REVIEW
MED-0640,HIDRALAZINA,1,PENDING_REVIEW
MED-0641,NITROGLICERINA,1,PENDING_REVIEW
MED-0642,HEPARINA NO FRACCIONADA,1,PENDING_REVIEW
MED-0643,ENOXAPARINA,1,PENDING_REVIEW
MED-0644,INSULINA REGULAR,1,PENDING_REVIEW
MED-0645,INSULINA NPH,1,PENDING_REVIEW
MED-0646,GLUCAGÓN,1,PENDING_REVIEW
MED-0647,DEXTROSA,1,PENDING_REVIEW
MED-0648,GLUCONATO DE CALCIO,1,PENDING_REVIEW
MED-0649,CLORURO DE CALCIO,1,PENDING_REVIEW
MED-0650,LIDOCAÍNA,1,PENDING_REVIEW
MED-0651,BUPIVACAÍNA,1,PENDING_REVIEW
MED-0652,KETAMINA,1,PENDING_REVIEW
MED-0653,PROPOFOL,1,PENDING_REVIEW
MED-0654,MORFINA,1,PENDING_REVIEW
MED-0655,FENTANILO,1,PENDING_REVIEW
MED-0656,ROCURONIO,1,PENDING_REVIEW
MED-0657,SUCCINILCOLINA,1,PENDING_REVIEW
MED-0658,ETOMIDATO,1,PENDING_REVIEW
MED-0659,LACTULOSA,1,PENDING_REVIEW
MED-0660,POLIETILENGLICOL 3350,1,PENDING_REVIEW
MED-0661,SENÓSIDOS,1,PENDING_REVIEW
MED-0662,NALOXONA,1,PENDING_REVIEW
MED-0663,FLUMAZENIL,1,PENDING_REVIEW
MED-0664,PRALIDOXIMA,1,PENDING_REVIEW
MED-0665,HIDROXOCOBALAMINA,1,PENDING_REVIEW
MED-0666,FOMEPIZOL,1,PENDING_REVIEW
