rule_id,med_id,principio_activo,indicacion,poblacion,via,metrica_renal,rango,limite_inferior,limite_superior,inferior_inclusivo,superior_inclusivo,regimen_ajustado,tipo_regla,notas,fuente,url_fuente,fecha_revision,estado,automatizable
REN-0001,MED-0017,ACICLOVIR,HSV no SNC,Adulto,IV,CrCl_CG_mL_min,>50,50,,NO,NO,5 mg/kg IV q8h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0002,MED-0017,ACICLOVIR,HSV no SNC,Adulto,IV,CrCl_CG_mL_min,25–50,25,50,SI,SI,5 mg/kg IV q12h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0003,MED-0017,ACICLOVIR,HSV no SNC,Adulto,IV,CrCl_CG_mL_min,10–<25,10,25,SI,NO,5 mg/kg IV q24h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0004,MED-0017,ACICLOVIR,HSV no SNC,Adulto,IV,CrCl_CG_mL_min,<10,,10,SI,NO,2.5 mg/kg IV q24h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0005,MED-0017,ACICLOVIR,Encefalitis HSV / VZV diseminado,Adulto,IV,CrCl_CG_mL_min,>50,50,,NO,NO,10 mg/kg IV q8h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0006,MED-0017,ACICLOVIR,Encefalitis HSV / VZV diseminado,Adulto,IV,CrCl_CG_mL_min,25–50,25,50,SI,SI,10 mg/kg IV q12h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0007,MED-0017,ACICLOVIR,Encefalitis HSV / VZV diseminado,Adulto,IV,CrCl_CG_mL_min,10–<25,10,25,SI,NO,10 mg/kg IV q24h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0008,MED-0017,ACICLOVIR,Encefalitis HSV / VZV diseminado,Adulto,IV,CrCl_CG_mL_min,<10,,10,SI,NO,5 mg/kg IV q24h,REGIMEN,En obesidad UCSF recomienda peso ajustado si peso total >120% del peso ideal.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0009,MED-0053,AMOXICILINA,ITU sintomática por Enterococcus,Adulto,PO,CrCl_CG_mL_min,>30,30,,NO,NO,500 mg PO q8h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0010,MED-0053,AMOXICILINA,ITU sintomática por Enterococcus,Adulto,PO,CrCl_CG_mL_min,10–30,10,30,SI,SI,500 mg PO q12h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0011,MED-0053,AMOXICILINA,ITU sintomática por Enterococcus,Adulto,PO,CrCl_CG_mL_min,<10,,10,SI,NO,500 mg PO q24h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0012,MED-0053,AMOXICILINA,Infección grave / bacteriemia GN / NAC seleccionada,Adulto,PO,CrCl_CG_mL_min,>30,30,,NO,NO,1 g PO q8h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0013,MED-0053,AMOXICILINA,Infección grave / bacteriemia GN / NAC seleccionada,Adulto,PO,CrCl_CG_mL_min,10–30,10,30,SI,SI,1 g PO q12h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0014,MED-0053,AMOXICILINA,Infección grave / bacteriemia GN / NAC seleccionada,Adulto,PO,CrCl_CG_mL_min,<10,,10,SI,NO,500 mg PO q12h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
