toxico_sindrome,antidoto_base,dosis_base,observaciones_base
ACETAMINOFÉN/PARACETAMOL,N-acetilcisteína,"*Fluimucil® O FLUIDASA: Sobres x 100, 200, 600mg; Jarabe 20 mg/ml, Amp. 3 ml con 300 mg.
VO: 140mg/kg diluido (carga) y continuar a 70mg/kg c/4 horas x 17 dosis.
IV: 150mg/kg en 200ml de DAD 5% pasar en 15 min, seguido de 50mg/kg en 500ml DAD5% en 4 horas y continuar luego con 100mg/kg en 1.000ml DAD5% en las siguientes 16 horas","*Debe administrarse con antiemético.
*IV rápido causa reacción anafiláctica e hipotensión entonces debe administrarse lentamente y con control de la tensión.
* El carbón activado interfiere con la absorción oral cuando es administrado simultáneamente"
ANTICOAGULANTE (WARFARINA O CUMARINICOS),Vitamina K1,"*FITOMENADIONA-Konakion®: Amp. 2 mg/0.2 ml o 10 mg/1 ml.
*Intoxicación por rodenticidas anticoagulantes: Leve: 10 mg SC; Moderado 10-25 mg SC, niños 0.6 mg/kg. Severo: 20mg en 50ml de SSN IV lento;
* Plasma: 15 ml/kg de peso","*Reacciones anafilácticas con el uso IV y sólo debe usarse en casos muy severos.
*La vía IM produce hematomas en el paciente anticoagulado"
BENZODIACEPINAS,FLUMAZENIL,"*Lanexat:® amp. 0.1mg/ml; 5ml y 10 ml.
Dosis: 0.2 mg IV en 30 segundos, si no responde 0.3mg IV en 30 Seg. y posteriormente 0.5mg y repetir cada 30 segundos hasta un máximo de 3mg.
Niños: 0.01 mg/kg IV en 30 segundos, máximo de 1mg","*No administrar en sobredosis de antidepresivos tricíclicos puede precipitar convulsiones o arritmias.
*Contraindicado en pacientes con epilepsia.
*En pacientes mayores de 60 años y/ocon EPOC se debe monitorizar por el riesgo de paro cardiorrespiratorio"
β-BLOQUEADORES,GLUCAGON,"*Glucagón amp. 1mg/ml
Dosis: Adultos: 3-10 mg IV en bolo, seguido de 1-5mg/hora en infusión continua.
Niños: 0.15 mg /kg en bolo seguido de 0.05-0.1 mg/kg/h","*Para manejo de bradicardia e hipotensión asociada a -bloqueador.
Diluir 4 mg. en 50 ml de DAD 5% para infusión continua."
CIANURO,"1. Producción de metahemoglobinemia
*Nitrito de amilo
*Nitrito de sodio
2. Producción de tiocianatos
* Tiosulfato de sodio
3. Producción de cianocobalamina
* Hidroxicobalamina (Vitamina B12)","NITRITO DE AMILO: *Dosis: 2-3 perlas inhaladas por 30 segundos cada 5 minutos
NITRITO DE SODIO: *Amp 3% Dosis: Adulto 300mg IV lento. Niños 6 mg/kg (0,33 ml/kg)
TIOSULFATO: Adultos: 10-12.5 gr (50 ml de solución al 20 o 25%, respectivamente) diluidos en 200 ml SSN o DAD 5% pasar en 20 min.
Niños: 400 mg/kg (1.65 ml/kg de una solución al 25%) IV
VIT B12: * Adultos: 5 g IV diluidos en infusión por 30 minutos
Niños: 70 mg/kg IV en infusión por 30 minutos","*El tratamiento con nitritos induce metahemoglobinemia e hipotensión, por lo tanto; no se debe administrar si no hay una sospecha fuerte o diagnóstico confirmado.
* Si el paciente no responde en 30 minutos, se debe repetir la mitad de la dosis inicial"
ETANOL,TIAMINA (VIT B1),"* Amp 30 mg/ml, 1, 2 y 10 ml.
Dosis: Adultos: 100 mg lentos IV diluidos o IM cada 8 horas, VO 300-1200 mg/día.
Niños: 50 mg lentos IV o IM dosis única.",
"FENOTIAZINAS 
(Clorpromazina; Promazina, Triflupromazina, Metotrimeprazina, Mesoridazina, Tioridazina, Flufenazina, Proclorperazina, Trifluoperazina)",DIFENHIDRAMINA,"*Benadryl®: Elixir 12.5/5ml. Tab-caps. x 25-50mg
Dosis: adultos: 25-50mg cada 8 horas. 20 ml VO cada 8 horas.
Niños: 0.5-1 mg/kg cada 12 horas, máximo 50 mg.",*Indicado ante signos extrapiramidales
"GLUCÓSIDOS CARDIACOS DIGITAL (DIGITOXINA, DIGOXINA, LANATOSIDO C)",Anticuerpos antidigital,Digibind®: vial x 38 mg fija 0.5 mg de digoxina.,"* Hipersensibilidad a productos ovinos.
* Exacerbación de falla cardíaca preexistente por remoción del efecto digitálico.
* Los niveles séricos de digoxina persisten elevados después de la administración del antídoto porque mide el complejo inactivado."
HEPARINA,PROTAMINA,"*Protamina: ampollas y viales 50mg/ 5ml o de 250 mg/25 ml
Dosis: Según tiempo transcurrido desde administración de heparina:
- Si es inmediata, se administran 1-1.5 mg IV x cada 100 unidades de heparina.
- Si han transcurrido 30-60 minutos, se administran 0.5-0.75 mg IV x cada 100 unidades de heparina.
- Si han transcurrido 2 ó 3 horas, se administran 0.25 – 0.375 mg IV por cada 100 unidades de heparina.
- Si se administró heparina en infusión continua, dar 25-50 mg en 15 min.","* Hipotensión, bradicardia y reacciones anafilactoides"
HIERRO,DEFEROXAMINA,"*Desferal®: amp. 500 mg polvo liofilizado.
Dosis: 10-15mg/kg/hora en infusión continua, máximo 6 g/día","*El carbón activado no adsorbe el hierro.
*La deferoxamina está indicada en:
Pacientes sintomáticos (choque, acidosis severa, alteración estado mental, hipovolemia) y niveles de hierro sérico >350 μg/dl.
Pacientes asintomáticos: niveles de hierro mayores de 500 μg/dl y tabletas visibles en rayos X abdominal.
*Se da tratamiento hasta que la orina no se encuentre de color rosa o sideremia <100 μg/dl."
INHIBIDORES DE LA COLINESTERAS (ORGANOFOSFORADOS Y CARBAMATOS),"1. Atropina
2. Difenhidramina
3. Bicarbonato de sodio
4. Oximas (Pralidoxima)","*Sulfato de Atropina®: amp. 1mg/ml.
Dosis: 2-5 mg inicialmente, continuar 1mg cada 5 min. hasta atropinizar.
Niños: 0.02 mg/kg inicialmente, continuar 0.01mg/kg cada 5 min. hasta atropinizar.
*DIFENHIDRAMINA IGUAL QUE FENOTIAZINAS 
*BICARBONATO DE SODIO: *Amp 10 ml con 1 meq/ml
Dosis: 0.5 - 1 meq/kg/día IV en bolo diluidos en 100 cc de SSN y pasar en 10 minutos
*Oximas: *Contrathion®: amp 200 mg liofilizado al 2%
Dosis: 1-2 g en infusión continua en 100 cc SSN por 15-30 min.
Niños: 25-50 mg/kg máximo 1 g en infusión continua en 1-2 cc/kg de SSN
por 15-30 minutos.
Repetir dosis inicial después de 1 hora si la debilidad y fasciculaciones musculares persisten.","* En niños la dosis mínima total a utilizar es de 0.3 mg IV, ya que dosis menores pueden producir bradicardia pradójica.
* Realizar control con gases arteriales
*Las oximas son solo para intoxicaciones por organofosforados y tienen contraindicación relativa en las intoxicaciones por carbamatos. No usar en intoxicaciones por carbamatos: Aldicarb, methoxyl, carbaryl.
Debe ser usado siempre en conjunto con atropina."
ISONIACIDA,PIRIDOXINA (VIT B6),"*Amp. 100mg/ml, 10 y 30 ml.
Dosis: 1g IV por cada gramo de isoniacida ingerido, diluido en 50ml SSN en 5 min.
4-5 g IV si la cantidad es desconocida.",*Para el manejo de las convulsiones asociadas a la intoxicación por isoniacida.
