med_id,principio_activo,reglas_pediatria,estado_pediatria,nivel_uso,escenarios
MED-0001,(ALFA) RIFAXIMINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0002,ABACAVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0003,ABEMACICLIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0004,ABIRATERONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0005,ABROCITINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0006,ACECLOFENACO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0007,ACETATO DE CIPROTERONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0008,ACETATO DE CLORMADINONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0009,ACETATO DE INDACATEROL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0010,ACETATO DE LISINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0011,ACETATO DE MEDROXIPROGESTERONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0012,ACETATO DE NOMEGESTROL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0013,ACETATO DE ULIPRISTAL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0014,ACETAZOLAMIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0015,ACETILCISTEINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0016,ACETONIDO DE TRIAMCINOLONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0017,ACICLOVIR,4,HABILITADO,GENERAL,"HSV | HSV SNC | HSV SNC / HSV inmunocomprometido / VZV | HSV mucocutáneo, huésped inmunocompetente"
MED-0018,ÁCIDO ACETIL SALICILICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0019,ACIDO ALFA LIPOICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0020,ACIDO ALGINICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0021,ACIDO ASCORBICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0022,ACIDO CARGLUMICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0023,ACIDO CITRICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0024,ÁCIDO CLAVULÁNICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0025,ACIDO COLICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0026,ACIDO DECOSA HEXAENOICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0027,ÁCIDO FENOFIBRICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0028,ÁCIDO FOLICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0029,ACIDO IBANDRONICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0030,ACIDO MEFENAMICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0031,ACIDO OROTICO ANHIDRO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0032,ACIDO PIPEMIDICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0033,ACIDO TIOCTICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0034,ACIDO TOLFENAMICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0035,ACIDO TRANEXAMICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0036,ACIDO URSODESOXICOLICO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0037,ACIDO VALPROICO,1,HABILITADO,GENERAL,Convulsión aguda – segunda línea
MED-0038,ÁCIDOS OMEGA 3 ETIL ESTER 84%(EQUIVALENTE A 465 MG DE ÁCIDO EIC...,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0039,AFATINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0040,AGOMELATINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0041,ALBENDAZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0042,ALENDRONATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0043,ALFAMETILDOPA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0044,ALIZAPRIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0045,ALOPURINOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0046,ALPRAZOLAM,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0047,AMANTADINA CLORHIDRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0048,AMBRISENTAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0049,AMIODARONA CLORHIDRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0050,AMISULPRIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0051,AMITRIPTILINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0052,AMLODIPINO,1,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,MONITORIZACIÓN,Hipertensión arterial
MED-0053,AMOXICILINA,5,HABILITADO,GENERAL,Dosis estándar (infecciones comunes) | Faringitis estreptocócica | Neumonía bacteriana ambulatoria (MINSAL Chile 2025) | Otitis media aguda – tratamiento antibiótico | Sinusitis bacteriana aguda – no grave
MED-0054,AMPICILINA,2,HABILITADO,GENERAL,Infección habitual | Meningitis / endocarditis
MED-0055,ANAGRALIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0056,ANASTRAZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0057,APIXABAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0058,APREMILAST,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0059,ARIPIPRAZOL,4,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,Irritabilidad asociada a trastorno autista – inicio | Irritabilidad asociada a trastorno autista – rango terapéutico | Síndrome de Tourette – inicio
MED-0060,ARTEMETER,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0061,ASCORBATO DE SODIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0062,ATAZANAVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0063,ATENOLOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0064,ATORVASTATINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0065,AVANAFIL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0066,AXITINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0067,AZATIOPRINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0068,AZITROMICINA,5,HABILITADO,GENERAL,NAC ambulatoria – sospecha de etiología atípica – día 1 | NAC ambulatoria – sospecha de etiología atípica – días 2–5 | Pertussis / profilaxis posexposición | Pertussis / profilaxis posexposición – día 1 | Pertussis / profilaxis posexposición – días 2–5
MED-0069,BACLOFENO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0070,BARICITINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0071,BELATACEPT,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0072,BENCIDAMINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0073,BENOXINATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0074,BENZNIDAZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0075,BENZOCAINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0076,BETAHISTINA CLORHIDRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0077,BICALUTAMIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0078,BICARBONATO DE SODIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0079,BICTEGRAVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0080,BILASTINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0081,BIPERIDENO CLORHIDRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0082,BISACODILO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0083,BISOPROLOL FUMARATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0084,BOSENTAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0085,BOSUTINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0086,BOSUTINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0087,BRIGATINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0088,BRIVARACETAM,8,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,Crisis focales – Inicio | Crisis focales – Mantenimiento
MED-0089,BROMAZEPAM,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0090,BROMHEXINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0091,BROMOPRIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0092,BUCLIZINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0093,BUDESONIDA,3,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,MONITORIZACIÓN,Asma persistente – nebulizada; previo corticosteroide inhalado | Asma persistente – nebulizada; previo corticosteroide oral | Asma persistente – nebulizada; previo solo broncodilatador
MED-0094,BUPROPION,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0095,CABERGOLINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0096,CABOTEGRAVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0097,CABOZANTINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0098,CAFEINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0099,CALCITRIOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0100,CANDESARTAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0101,CAPECITABINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0102,CAPTOPRIL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0103,CARBAMAZEPINA,2,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,Epilepsia – inicio
MED-0104,CARBIDOPA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0105,CARBON ACTIVADO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0106,CARBONATO DE CALCIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0107,CARBONATO DE LITIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0108,CARVEDILOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0109,CEFADROXILO,3,HABILITADO,GENERAL,Faringitis / amigdalitis / impétigo | ITU | Infección de piel y estructuras cutáneas
MED-0110,CEFALEXINA,2,HABILITADO,GENERAL,"Infección grave (p. ej., osteomielitis/pielonefritis) | Infección leve-moderada"
MED-0111,CEFDITOREN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0112,CEFPODOXIME,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0113,CEFRADINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0114,CEFTIBUTENO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0115,CEFUROXIMA,1,HABILITADO,GENERAL,NAC / OMA / sinusitis – alternativa oral con cefalosporina
MED-0116,CELECOXIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0117,CETILPIRIDINIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0118,CETIRIZINA,5,HABILITADO,GENERAL,Urticaria aguda
MED-0119,CIANOCOBALAMINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0120,CICLOBENZAPRINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0121,CICLOFOSFAMIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0122,CICLONAMINA (ETAMSILATO),0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0123,CICLOSPORINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0124,CILOSTAZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0125,CINACALCET,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0126,CINARIZINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0127,CINITAPRIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0128,CIPROFIBRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0129,CIPROFLOXACINA,2,HABILITADO,GENERAL,Infecciones susceptibles
MED-0130,CIPROTERONA ACETATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0131,CITALOPRAM,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0132,CITICOLINA SODICA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0133,CITRATO DE ALVERINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0134,CITRATO DE POTASIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0135,CLADRIBINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0136,CLARITROMICINA,1,HABILITADO,GENERAL,Infecciones pediátricas según ficha técnica
MED-0137,CLEMASTINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0138,CLINDAMICINA,3,HABILITADO,GENERAL,Fascitis necrotizante | Infección habitual | Infección ósea/articular
MED-0139,CLOBAZAM,6,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,Lennox-Gastaut – día 14 / objetivo | Lennox-Gastaut – día 7 | Lennox-Gastaut – inicio
MED-0140,CLOMIFENO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0141,CLOMIPRAMINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0142,CLONAZEPAM,2,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,Trastorno convulsivo – dosis inicial | Trastorno convulsivo – mantenimiento
MED-0143,CLONIDINA,4,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,"TDAH – liberación prolongada, dosis total 0.2 mg/día | TDAH – liberación prolongada, dosis total 0.3 mg/día | TDAH – liberación prolongada, dosis total 0.4 mg/día | TDAH – liberación prolongada, semana 1"
MED-0144,CLONIXINATO DE LISINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0145,CLOPIDOGREL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0146,CLORAMBUCILO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0147,CLORANFENICOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0148,CLORFENAMINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
