codigo,fuente,url,fecha_revision
UCSF_PED,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02
UCSF_ADULT_RENAL,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02
RCH_PAIN,Royal Children’s Hospital Melbourne – Acute pain management (updated 10/2024),https://www.rch.org.au/clinicalguide/guideline_index/Acute_pain_management/,2026-09-02
RCH_CROUP,Royal Children’s Hospital Melbourne – Croup,https://www.rch.org.au/clinicalguide/guideline_index/Croup_Laryngotracheobronchitis/,2026-09-02
RCH_URT,Royal Children’s Hospital Melbourne – Urticaria,https://www.rch.org.au/clinicalguide/guideline_index/Urticaria/,2026-09-02
RCH_ALLERGY,Royal Children’s Hospital Melbourne – IgE-mediated food allergy,https://www.rch.org.au/clinicalguide/guideline_index/Food_allergy_-_IgE_mediated_food_allergy/,2026-09-02
RCH_GASTRO,Royal Children’s Hospital Melbourne – Gastroenteritis (updated 8/2025),https://www.rch.org.au/clinicalguide/guideline_index/Gastroenteritis/,2026-09-02
RCH_SEIZ,Royal Children’s Hospital Melbourne – Seizures: acute management,https://www.rch.org.au/afebrile_seizures/,2026-09-02
DM_CEFADROXIL,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02
DM_NITRO,DailyMed – Nitrofurantoin oral suspension prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=04af8b73-7e15-7da8-e063-6294a90af284,2026-09-02
DM_CLARITHRO,DailyMed – Clarithromycin prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa69ea92-0b41-43fb-918f-ed80e0dedf04,2026-09-02
DM_OSELTA,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02
DM_METFORMIN,DailyMed – Metformin hydrochloride prescribing information,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=498ac5fc-14be-d36a-e063-6394a90a3012,2026-09-02
DM_VALACYCLOVIR,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02
DM_GABAPENTIN,DailyMed – Gabapentin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d576364c-9aa6-4356-a31b-321b0292a8fe,2026-09-02
DM_LEVET,DailyMed – Levetiracetam prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a05bbfa4-c34f-4134-8207-db79e4c70445,2026-09-02
DM_TOPIRAMATE,DailyMed – Topiramate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2917ba32-3355-4d64-966a-8518e6fafdbe,2026-09-02
DM_SITAGLIPTIN,DailyMed – Sitagliptin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cebc8388-c9db-4e27-8d6b-0d9bdc9d766d,2026-09-02
DM_FAMOTIDINE,DailyMed – Famotidine prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfc9e530-3433-4fed-a542-0e64123cddfb,2026-09-02
DM_METOCLOP,DailyMed – Metoclopramide prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=797aad80-0597-42f8-99d5-39de180c3b5a,2026-09-02
