med_id,generic_name,normalized_name,previous_status,previous_rules,previous_auto,previous_verified_biblio,harvest_status,match_confidence,matched_term,rxnorm_name,rxnorm_score,setid,spl_version,published_date,label_title,source_url,renal_section_titles,renal_text,rule_type,query_trace,error,v2_decision,v2_reason
MED-0007,ACETATO DE CIPROTERONA,ACETATO DE CIPROTERONA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE CIPROTERONA,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0008,ACETATO DE CLORMADINONA,ACETATO DE CLORMADINONA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE CLORMADINONA,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0009,ACETATO DE INDACATEROL,ACETATO DE INDACATEROL,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE INDACATEROL,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0010,ACETATO DE LISINA,ACETATO DE LISINA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE LISINA,Veneno de Abeja Aceite de Vibora,9.752972116221802,a6c4889c-e7a9-44b9-bd9a-70fd6e8c4825,2,"Jan 16, 2025","VENENO DE ABEJA ACEITE DE VIBORA BRAND (METHYL SALICYLATE) OINTMENT [MIRAMAR COSMETICS, INC DBA MIRAMAR LAB]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a6c4889c-e7a9-44b9-bd9a-70fd6e8c4825,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0011,ACETATO DE MEDROXIPROGESTERONA,ACETATO DE MEDROXIPROGESTERONA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATE DE MEDROXIPROGESTERONA,Medroxyprogesterone Acetate,11.735042572021484,a0a92717-c1cb-40eb-a95a-1c5dfd32cfc0,3,"Sep 07, 2026","MEDROXYPROGESTERONE ACETATE INJECTION, SUSPENSION [REMEDYREPACK INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0a92717-c1cb-40eb-a95a-1c5dfd32cfc0,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0012,ACETATO DE NOMEGESTROL,ACETATO DE NOMEGESTROL,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE NOMEGESTROL,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0013,ACETATO DE ULIPRISTAL,ACETATO DE ULIPRISTAL,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATE DE ULIPRISTAL,,16.665258407592773,2bf93d23-cddd-4613-9066-5b5fa090404b,7,"Jul 24, 2026","ELLA (ULIPRISTAL ACETATE) TABLET [PMI BRANDED PHARMACEUTICALS, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2bf93d23-cddd-4613-9066-5b5fa090404b,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0015,ACETILCISTEINA,ACETILCISTEINA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETILCISTEINA,acetylcysteine,100.0,5558a5f5-e821-473b-7d8a-5d33d09f0586,22,"May 25, 2026","ACETYLCYSTEINE SOLUTION [HOSPIRA, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5558a5f5-e821-473b-7d8a-5d33d09f0586,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0016,ACETONIDO DE TRIAMCINOLONA,ACETONIDO DE TRIAMCINOLONA,NO_RENAL_CONTENT,0,0,0,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,HIGH,ACETONIDO DE TRIAMCINOLONA,Triamcinolona,9.889425277709961,5a79639b-eb66-e726-e063-6394a90aeb01,1,"Sep 03, 2026",TRIAMCINOLONE ACETONIDE OINTMENT [REDPHARM DRUG],https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a79639b-eb66-e726-e063-6394a90aeb01,,,,,,REVIEW,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT
MED-0018,ÁCIDO ACETIL SALICILICO,ACIDO ACETIL SALICILICO,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACID ACETIL SALICILICO,Salicylic Acid,9.881744384765625,5b2c616d-78df-4fe8-e063-6394a90ad3d3,2,"Sep 18, 2026","LIXUHYA LIQUID SKIN WART CORN REMOVER (SALICYLIC ACID 40% LIQUID SKIN WART CORN REMOVER) LIQUID [HUBEI MINXIN PHARMACEUTICAL CO., LTD.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5b2c616d-78df-4fe8-e063-6394a90ad3d3,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
