med_id,generic_name,resolution,current_source_count,local_support_count,existing_medcalc_verified,dailymed_v3_confirmed,openfda_v4_confirmed,local_renal_biblio_2025,local_ajuste_renal_csv,v2_reason,v4_reason,next_action
MED-0006,ACECLOFENACO,UNRESOLVED,0,0,False,False,False,False,False,FALLBACK_SNIPPET_NOT_RENAL_DOSING_SECTION,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0007,ACETATO DE CIPROTERONA,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0008,ACETATO DE CLORMADINONA,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0009,ACETATO DE INDACATEROL,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0010,ACETATO DE LISINA,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0011,ACETATO DE MEDROXIPROGESTERONA,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0012,ACETATO DE NOMEGESTROL,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0013,ACETATO DE ULIPRISTAL,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0014,ACETAZOLAMIDA,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0015,ACETILCISTEINA,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0016,ACETONIDO DE TRIAMCINOLONA,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0018,ÁCIDO ACETIL SALICILICO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0019,ACIDO ALFA LIPOICO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0020,ACIDO ALGINICO,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0021,ACIDO ASCORBICO,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0023,ACIDO CITRICO,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0024,ÁCIDO CLAVULÁNICO,UNRESOLVED,0,0,False,False,False,False,False,SINGLE_INGREDIENT_MATCHED_COMBINATION_LABEL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0025,ACIDO COLICO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0026,ACIDO DECOSA HEXAENOICO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0027,ÁCIDO FENOFIBRICO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
