ref_id,med_id,catalogo_nombre,principio_activo,table,page,categoria,dosis_fr_normal,metodo,crcl_100_50,crcl_50_10,crcl_lt10,suplemento_hd,dosis_hfvvc,notas,fuente,url_fuente,fecha_fuente,estado,automatizable,imagen
FR001-T01-001,,,Amikacina,1,3,Antibacterianos 1,7.5 mg/kg/8 - 12 h,I,Cada 8 - 12 h,Cada 24 - 48 h,Cada 48 - 72 h,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-002,,,Estreptomicina,1,3,Antibacterianos 1,15 mg/kg/24 h (Máx. 1 g),I,Cada 24 h,Cada 24 - 72 h,Cada 72 - 96 h,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-003,,,Gentamicina,1,3,Antibacterianos 1,1.5 mg/kg/8 h,D e I,Cada 8 - 12 h,30 - 70%/12 - 24 h,20 - 30%/24 - 48 h,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-004,,,Tobramicina,1,3,Antibacterianos 1,1.5 mg/kg/8 h,D e I,Cada 8 - 12 h,30 - 70%/12 - 24 h,20 - 30%/24 - 48 h,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-005,,,Ertapenem,1,3,Antibacterianos 1,1 g/24 h,D,100%,100%,50%,Dosis postdiálisis,,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-006,,,Imipenem,1,3,Antibacterianos 1,250 mg - 1 g/6 h (Máx. 4 g/día),D e I,100%,50%,25%,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-007,,,Meropenem,1,3,Antibacterianos 1,1 - 2 g/8 h,D e I,100%,50%/12 h,50%/24 h,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-008,,,Cefazolina,1,3,Antibacterianos 1,500 mg - 1 g/8 h (Máx. 2 g/8 h),I,Cada 8 h,Cada 8 - 12 h,Cada 18 - 24 h,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-009,,,Cefepima,1,3,Antibacterianos 1,1 - 2 g/12 h,D e I,1 - 2 g/12 h,500 mg - 2 g/24 h,250 - 500 mg/24 h,Dosis postdiálisis,Ccr=50 - 10 ml/min,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
FR001-T01-010,,,Cefixima,1,3,Antibacterianos 1,200 mg/12 h,D,100%,75%,50%,,,,"García Montemayor V, Sanchez-Agesta Martínez M, Naranjo Muñoz J. Ajuste de Fármacos en la Enfermedad Renal Crónica. Nefrología al día. 2025.",https://nefrologiaaldia.org/articulo/ajuste-de-farmacos-en-la-enfermedad-renal-cronica/,2025-05-24,TRANSCRIPCION_VERIFICADA_IMAGEN,REFERENCIA_NO_PRESCRIPTIVA,renal_fuente_2025/tabla_01_pag_03.png
