principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion
(ALFA) RIFAXIMINA,mg,200,TABLETAS RECUBIERTAS,SDTE,"náuseas, vómitos, dolor abdominal, diarrea, mareos, y erupciones cutáneas. En casos graves, puede haber síntomas de insuficiencia hepática y reacciones alérgicas severas como anafilaxia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ABACAVIR,mg,300,TABLETA (CUBIERTA CON PELÍCULA),>600 mg DIA,sintomas generales,MEDIDAS GENERALES,PENDIENTE_VALIDACION
ABEMACICLIB,mg,100,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Shock anafiláctico Síntomas generales: ver apartado de sintomas generales Infecciones:Los medicamentos biológicos pueden aumentar el riesgo de infecciones debido a la supresión del sistema inmunológico. Síntomas gastrointestinales: Diarrea, Dolor abdominal, Colitis Síntomas neurológicos: Cefalea, Mareos, Convulsiones (en casos graves) Complicaciones hematológicas:Anemia, Trombocitopenia , Leucopenia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ABIRATERONA,mg,250,TABLETA,>1000 mg dia,"artralgia, dolor inguinal, bochornos, diarrea, estreñimiento, pirosis, tos, odinofagia, congestión nasal, insomnio, mareos, lipotimia, cefalea, taquiarrtimia, mialgias, edema de las manos, pies, tobillos o pantorrillas, falta de aliento, urticaria; disfagia; angioedema, petequias.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ABROCITINIB,mg,100,TABLETA RECUBIERTA DE COLOR ROSA GRABADA CON EL TEXTO PFE EN UNA CARA Y ABR 100 EN LA OTRA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Shock anafiláctico Síntomas generales: ver apartado de sintomas generales Infecciones:Los medicamentos biológicos pueden aumentar el riesgo de infecciones debido a la supresión del sistema inmunológico. Síntomas gastrointestinales: Diarrea, Dolor abdominal, Colitis Síntomas neurológicos: Cefalea, Mareos, Convulsiones (en casos graves) Complicaciones hematológicas:Anemia, Trombocitopenia , Leucopenia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACECLOFENACO,mg,100,TABLETA RECUBIERTA,>200 mg dia,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ACETATO DE CIPROTERONA,mg,2,TABLETA CUBIERTA (GRAGEA),SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACETATO DE CLORMADINONA,mg,2,TABLETA RECUBIERTA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACETATO DE INDACATEROL,µg,150,CÁPSULA DURA,SDTE,"palpitaciones, taquicardia, temblores, nerviosismo, dolor de cabeza, mareos, y calambres musculares. También pueden presentarse insomnio, náuseas y vómitos. En casos graves, se pueden observar arritmias cardíacas, hipertensión, y dolor en el pecho.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACETATO DE LISINA,mg,105,TABLETA RECUBIERTA CON PELÍCULA,SDTE,IGUAL QUE INTOX POR ASPIRINA,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
